date,lowest,volume,amount,avg_price,opening,closing,highest,quantity
2018-01-01,8352.0,1092630.38298722,609,8494.34737272,8419.0,8500.0,8697.18797,128.63029201
2018-01-02,8380.0,5638825.28548848,2896,9088.43756493,8500.0,9100.45,9409.0,620.43945895
2018-01-03,9016.0,3008205.98798522,1470,9141.78034754,9100.0,9061.01,9299.0,329.06128496
2018-01-04,8360.07078,5514970.08469885,2172,8570.60660166,9061.0,8371.0,9118.9,643.47488352
2018-01-05,7802.0,4225494.14970033,2160,8191.25264198,8361.0,8150.0,8438.0,515.85445284
2018-01-06,8011.0,5333552.71682687,2561,8457.78536112,8150.0,8570.2,9040.0,630.6086628
2018-01-07,8350.0,1948433.7832076,1398,8680.53805118,8571.01,8499.0,8997.77,224.46002445
2018-01-08,7905.0,3228628.62943138,1840,8163.94822027,8499.0,8241.0,8599.97,395.47392295
2018-01-09,7887.08,1818096.95001445,1391,8095.44314384,8166.11001,7890.0,8400.0,224.58275819
2018-01-10,7887.08001,12828265.26950817,5000,8763.27120709,7919.49,8860.5,9400.0,1463.86719826
2018-01-11,8000.0,4985730.34510084,2628,8498.04251011,8861.00001,8115.00001,9165.0,586.69162212
2018-01-12,8001.0,2307202.87660355,1374,8319.19649641,8115.00001,8477.998,8649.0,277.33482165
2018-01-13,8202.0,2349075.0276269,1223,8710.96025229,8477.998,8711.0,8925.0,269.66889523
2018-01-14,8425.0,593871.83430975,565,8598.86985744,8712.0,8575.0,8790.0,69.06394028
2018-01-15,7899.0,3309721.71390302,1553,8218.91331585,8575.0,8004.0,8638.999,402.69578066
2018-01-16,5055.0,8595729.85846388,4757,6571.50867901,8011.21592,6331.9,8200.0,1308.02990277
2018-01-17,4551.0,6757549.14185793,3773,5614.13260728,6321.0,5920.125,6737.0,1203.66753238
2018-01-18,5800.01,3766407.87204573,2243,6212.20863485,5940.0,6240.0,6650.01,606.2912715
2018-01-19,5950.0,1039749.83359373,842,6154.43716637,6150.00001,6085.0,6347.0,168.94312274
