date,lowest,volume,amount,avg_price,opening,closing,highest,quantity
2018-01-21,596.0,3048794.18967772,2298,629.51420782,657.0,637.87,677.0,4843.09035731
2018-01-22,580.0,2889765.02001244,2943,605.70812439,637.87,607.0,640.0,4770.88700586
2018-01-23,552.1,2931466.58600146,2720,586.30268075,607.0,565.0,617.97999,4999.92014744
2018-01-24,565.0,2587292.89864222,1921,582.79888769,565.00001,578.99999,607.9999,4439.42662432
2018-01-25,563.89001,2131335.22081441,1755,574.68701185,578.99999,570.11,588.8,3708.68868945
2018-01-26,549.9,2714769.696719,1922,565.16790204,577.9,562.98,583.0,4803.47466113
2018-01-27,557.0,1206279.82229571,1073,564.40079682,562.98,571.0,575.0,2137.27519359
2018-01-28,572.00024,1312714.57954532,1810,592.50661537,574.5,588.50001,608.899,2215.52729624
2017-01-01,15.40003,4612.82363464,26,16.2520688,15.40003,16.4,16.4,283.82993514
2017-01-02,15.631,6838.70864134,61,16.38006581,15.8,16.2023,17.0,417.5019027
2017-01-03,16.05,8780.441537,91,16.29365234,16.83997,16.47997,16.83997,538.88725214
2017-01-04,16.0,13910.88274887,109,16.16885717,16.18,16.7,16.7,860.35040078
2017-01-05,15.0,34656.00438569,197,15.68231038,16.5,15.31,16.9001,2209.87874568
2017-01-06,14.1,66340.60912606,250,16.11177086,15.99,15.35,19.5,4117.52436762
2017-01-07,15.003,4658.63536666,36,15.32782618,15.75,15.01,15.75,303.93320706
2017-01-08,15.0,14220.64536151,50,15.02742312,15.2,15.016,15.4,946.31296737
2017-01-09,15.0,40232.98323391,84,15.11968078,15.0167,15.78,15.8,2660.96776891
2017-01-10,15.302,18056.40449009,107,16.33238272,15.77999,16.79,17.25,1105.55849712
2017-01-11,13.7,50277.52579376,235,15.60285846,16.41,13.7,19.0,3222.32787797
2017-01-12,13.8,12844.78690206,91,14.2512004,14.0,14.82999,14.97999,901.31262908
2017-01-13,13.16,9554.06038505,62,14.07905098,14.5,14.0,14.72887,678.60116427
2017-01-14,13.20001,1655.92396088,40,13.89788968,13.27,13.89,14.05,119.14930965
2017-01-15,13.29,2951.3230354,60,13.72868139,13.5,13.45002,13.98,214.97498207
2017-01-16,13.45026,6087.7126136,49,13.69394808,13.65,13.7201,14.25197,444.55496528
2017-01-17,13.45,4959.18918454,74,13.62252255,13.72016,13.97,14.25189,364.0433823
2017-01-18,13.4,6646.66583302,76,13.69094154,13.65,13.51,13.97,485.4790894
2017-01-19,12.838,14420.61599219,102,13.13684194,13.6,13.39,13.6,1097.72318623
2017-01-20,12.88001,3812.92287145,37,12.9775713,13.39,12.9,13.39,293.80866298
2017-01-21,12.2,21848.32901831,52,12.83050606,12.90001,13.0,13.25,1702.84234442
2017-01-22,12.21002,1563.10755356,21,12.33416209,12.5,12.93,13.0,126.72993452
2017-01-23,12.0,12116.03156584,73,12.42778254,12.5,12.05,13.0,974.91499575
2017-01-24,12.04,963.05291576,42,12.27595595,12.69,12.11002,12.7,78.4503398
2017-01-25,12.03,6788.95252547,98,12.18683653,12.49998,12.04,12.699,557.07258493
2017-01-26,12.04,11846.88981485,49,12.36211886,12.05,12.2,12.48998,958.32194695
2017-01-27,12.09,4545.60699856,43,12.18507625,12.46999,12.43,12.47,373.04707055
2017-01-28,12.125,190.38290243,12,12.40787126,12.125,12.41,12.41,15.34372
2017-01-29,12.03,4204.08697213,39,12.18979274,12.42,12.04001,12.42999,344.88584527
2017-01-30,12.0,10814.259453,74,12.35730108,12.04002,13.39,13.39,875.13117842
2017-01-31,12.5,2349.99338759,64,12.82092742,13.39,13.3,13.85,183.2935568
